id;label;groupe
été;;saison
hiver;;saison
herbages;;cultures
cultures_pérennes;;cultures
vigne;;cultures
terres_assolées;;cultures
baies;;cultures
SPB_herbages;;cultures
SPB_pérennes;;cultures
SPB_terres_assolées;;cultures
SPB_autres;;cultures
UGB_bovins;;bétail
UGB_équidés;;bétail
UGB_caprins;;bétail
UGB_ovins;;bétail
UGB_porcins;;bétail
UGB_volailles;;bétail
UGB_lapins;;bétail
UGB_autresFG;;bétail
UB_autresNFG;;bétail
BIO;;inscriptions
insc_PLVH;;inscriptions
insc_SST_Bovins;;inscriptions
insc_SST_Equidés;;inscriptions
insc_SST_Chèvres;;inscriptions
insc_SST_Porcins;;inscriptions
insc_SST_Lapins;;inscriptions
insc_SST_Volailles;;inscriptions
insc_SRPA_Bovins;;inscriptions
insc_SRPA_Equidés;;inscriptions
insc_SRPA_Caprins;;inscriptions
insc_SRPA_Ovins;;inscriptions
insc_SRPA_Porcins;;inscriptions
insc_SRPA_Volailles;;inscriptions
insc_SRPA_Wildtiere;;inscriptions
insc_MAP;;inscriptions
insc_LPA;;inscriptions
insc_LPV;;inscriptions
insc_LPP;;inscriptions
insc_PBA;;inscriptions
insc_NRH;;inscriptions
insc_GSC;;inscriptions
insc_xSC;;inscriptions
insc_SMT;;inscriptions
insc_FIS;;inscriptions
insc_CEU;;inscriptions
carnet_prés;;contrôle
bilan_fumure;;contrôle
liste_surfaces;;contrôle
analyse_sol;;contrôle
bilan_fourrager;;contrôle
plan_traitement;;contrôle
checklist_vét;;contrôle
BDTA;;contrôle
vérification_machines;;contrôle
journal_sorties;;contrôle
visite_parcelles;;contrôle
visite_écuries;;contrôle
inspection_bétail;;contrôle
visite_local;;contrôle
