id;label;groupe;condition
07.02_2024;PER Documents / enregistrements;contrôle;carnet_prés
07.06_2021;PER Grandes cultures et culture maraîchère / surface herbagère : rotation des cultures;contrôle;carnet_prés
07.07_2021;PER Grandes cultures et culture maraîchère : Protection du sol;contrôle;carnet_prés
07.08_2025;PER Grandes cultures et culture maraîchère / surface herbagère : protection phytosanitaire;contrôle;carnet_prés
07.09_2021;PER Arboriculture;contrôle;carnet_prés
07.10_2021;PER Baies;contrôle;carnet_prés
09.02_2018;Production végétale bio;contrôle;carnet_prés
09.03_2017;Semences et plants bio;contrôle;carnet_prés
18.01_2023;Couverture appropriée du sol;contrôle;carnet_prés
18.02_2024;Techniques culturales préservant le sol;contrôle;carnet_prés
19.01_2023;Utilisation efficiente de l'azote dans les grandes cultures;contrôle;carnet_prés
07.01_2023;PER Généralités;contrôle;bilan_fumure
07.02_2024;PER Documents / enregistrements;contrôle;bilan_fumure
09.02_2018;Production végétale bio;contrôle;bilan_fumure
19.01_2023;Utilisation efficiente de l'azote dans les grandes cultures;contrôle;bilan_fumure
07.02_2024;PER Documents / enregistrements;contrôle;liste_surfaces
07.03_2025;PER Part appropriée de surface de promotion de la biodiversité;contrôle;liste_surfaces
07.04_2021;PER Bordures tampon;contrôle;liste_surfaces
07.06_2021;PER Grandes cultures et culture maraîchère / surface herbagère : rotation des cultures;contrôle;liste_surfaces
09.01_2017;Généralités concernant l'agriculture biologique;contrôle;liste_surfaces
07.01_2023;PER Généralités;contrôle;analyse_sol
07.13_2025;PER ruissellement et dérive;contrôle;analyse_sol
09.07_2017;Garde des animaux / Élevage bio: généralités;contrôle;bilan_fourrager
09.08_2017;Elevage bio - exigences spécifiques pour les porcs;contrôle;bilan_fourrager
09.09_2017;Elevage bio - exigences spécifiques pour la volaille;contrôle;bilan_fourrager
09.10_2017;Elevage bio ' exigences spécifiques pour les autres espèces animales;contrôle;bilan_fourrager
11.01_2021;Production de lait et de viande basée sur les herbages;contrôle;bilan_fourrager
01.1.A_2021;Hygiène production végétale - Exigences générales;contrôle;plan_traitement
01.1.B_2021;Hygiène production végétale - Produits phytosanitaires et biocides;contrôle;plan_traitement
07.01_2023;PER Généralités;contrôle;plan_traitement
07.02_2024;PER Documents / enregistrements;contrôle;plan_traitement
07.06_2021;PER Grandes cultures et culture maraîchère / surface herbagère : rotation des cultures;contrôle;plan_traitement
