option;condition
insc_PLVH;UGB_bovins
insc_PLVH;UGB_équidés
insc_PLVH;UGB_caprins
insc_PLVH;UGB_ovins
insc_PLVH;UGB_autresFG
insc_SST_Bovins;UGB_bovins
insc_SST_Equidés;UGB_équidés
insc_SST_Chèvres;UGB_caprins
insc_SST_Porcins;UGB_porcins
insc_SST_Lapins;UGB_lapins
insc_SST_Volailles;UGB_volailles
insc_SRPA_Bovins;UGB_bovins
insc_SRPA_Equidés;UGB_équidés
insc_SRPA_Caprins;UGB_caprins
insc_SRPA_Ovins;UGB_ovins
insc_SRPA_Porcins;UGB_porcins
insc_SRPA_Volailles;UGB_volailles
insc_SRPA_Wildtiere;UGB_autresFG
insc_MAP;UGB_bovins
insc_LPA;cultures_pérennes
insc_LPA;vigne
insc_LPA;terres_assolées
insc_LPA;baies
insc_LPV;terres_assolées
insc_LPV;baies
insc_LPP;cultures_pérennes
insc_LPP;vigne
insc_PBA;cultures_pérennes
insc_PBA;vigne
insc_NRH;cultures_pérennes
insc_NRH;vigne
insc_NRH;terres_assolées
insc_NRH;baies
insc_GSC;vigne
insc_xSC;terres_assolées
insc_xSC;baies
insc_SMT;terres_assolées
insc_SMT;baies
insc_FIS;terres_assolées
insc_FIS;cultures_pérennes
insc_FIS;vigne
insc_CEU;terres_assolées
insc_CEU;baies
