id;label;groupe
été;Eté;saison
hiver;Hiver;saison
herbages;Herbages;cultures
cultures_pérennes;Cultures pérennes;cultures
vigne;Vigne;cultures
terres_assolées;Terres assolées;cultures
baies;Baies;cultures
SPB_herbages;SPB herbages;cultures
SPB_pérennes;SPB cultures pérennes et ligneux;cultures
SPB_terres_assolées;SPB terres assolées;cultures
SPB_autres;Autres SPB;cultures
UGB_bovins;UGB bovins;bétail
UGB_équidés;UGB équidés;bétail
UGB_caprins;UGB caprins;bétail
UGB_ovins;UGB ovins;bétail
UGB_porcins;UGB porcins;bétail
UGB_volailles;UGB volailles;bétail
UGB_lapins;UGB lapins;bétail
UGB_autresFG;UGB Autres animaux consommant du fourrage grossier;bétail
UB_autresNFG;UGB Autres animaux;bétail
BIO;Agriculture biologique;inscriptions
insc_PLVH;PLVH;inscriptions
insc_SST_Bovins;SST bovins;inscriptions
insc_SST_Equidés;SST équidés;inscriptions
insc_SST_Chèvres;SST caprins;inscriptions
insc_SST_Porcins;SST porcins;inscriptions
insc_SST_Lapins;SST lapins;inscriptions
insc_SST_Volailles;SST volailles;inscriptions
insc_SRPA_Bovins;SRPA bovins;inscriptions
insc_SRPA_Equidés;SRPA équidés;inscriptions
insc_SRPA_Caprins;SRPA caprins;inscriptions
insc_SRPA_Ovins;SRPA ovins;inscriptions
insc_SRPA_Porcins;SRPA porcins;inscriptions
insc_SRPA_Volailles;SRPA volailles;inscriptions
insc_SRPA_Wildtiere;SRPA animaux sauvages;inscriptions
insc_MAP;Mise au pâturage;inscriptions
insc_LPA;Non-rec. PPh grandes cultures;inscriptions
insc_LPV;Non-rec. PPh maraich. et petits fruits;inscriptions
insc_LPP;Non-rec. PPh cult. pérennes après floraison;inscriptions
insc_PBA;Intrants bio.;inscriptions
insc_NRH;Non-rec. herbicides;inscriptions
insc_GSC;Couverture du sol vigne;inscriptions
insc_xSC;Couverture du sol terres ouvertes;inscriptions
insc_SMT;Techniques culturales préservant le sol;inscriptions
insc_FIS;Bandes semées pour organismes utiles;inscriptions
insc_CEU;Utilisation efficiente de l'azote;inscriptions
carnet_prés;Carnet des prés/champs;contrôle
bilan_fumure;Bilan de fumure;contrôle
liste_surfaces;Atlas/liste des surfaces;contrôle
analyse_sol;Analyse de sol;contrôle
bilan_fourrager;Bilan fourrager;contrôle
plan_traitement;Plan/journal de traitement;contrôle
checklist_vét;Checklist vétérinaire;contrôle
BDTA;Relevé BDTA;contrôle
vérification_machines;Vérification des machines;contrôle
journal_sorties;Journal des sorties;contrôle
visite_parcelles;Visite de parcelles;contrôle
visite_écuries;Visite des écuries;contrôle
inspection_bétail;Inspection du bétail;contrôle
visite_local;Visite de locaux;contrôle
